window_size,payload_size,run_id,seed,goodput,goodput_mbps,efficiency,utilization,retransmissions,retransmission_rate,frame_error_rate,total_time,rtt_mean,rtt_min,rtt_max,buffer_full_events,backpressure_events,data_valid,complete,error
2,128,0,2170,3110.7972662313828,0.02488637812985106,0.545005535212467,0.004566261537169391,107,0.2505854800936768,0.17415730337078653,16.458803199999892,0.054140738342966864,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,1,12170,2973.849454819062,0.023790795638552496,0.5320475517499377,0.004471554386502312,120,0.2810304449648712,0.19195612431444242,17.216742399999923,0.05414073950850633,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,2,22170,2848.4408702841474,0.02278752696227318,0.5178412492920139,0.004400485089480222,135,0.3161592505854801,0.2099644128113879,17.97474559999995,0.054140740850277085,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,3,32170,3031.0332337639106,0.024248265870111287,0.5369577984730263,0.004515860639154006,115,0.2693208430913349,0.1937269372693727,16.891929599999894,0.05414073962264116,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,4,42170,2891.995012031613,0.023135960096252906,0.521554885502404,0.00443595884907999,131,0.30679156908665106,0.20967741935483872,17.70404159999994,0.054140740959409364,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,5,52170,2900.8661623752696,0.023206929299002158,0.5208333333333334,0.004455730425408414,132,0.3091334894613583,0.20572450805008943,17.64990079999993,0.05414068170055428,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,6,62170,3011.727289599807,0.02409381831679846,0.5320475517499377,0.00452850844582451,120,0.2810304449648712,0.19926873857404023,17.000211199999907,0.05414074007490604,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,7,72170,3050.5882868849676,0.02440470629507974,0.5243752560426055,0.0046540537551788795,128,0.2997658079625293,0.21081081081081082,16.783647999999896,0.05414074095940922,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,8,82170,2927.809191747175,0.023422473533977403,0.5224916319699567,0.004482841848713894,130,0.3044496487119438,0.19748653500897667,17.487478399999937,0.05414074018691565,0.05410880000000162,0.05414080000000254,0,0,True,True,
2,128,9,92170,3353.4906064536513,0.02682792485162921,0.5717859376395962,0.004691952544754465,82,0.1920374707259953,0.13948919449901767,15.267673599999881,0.0541407354838705,0.054108799999999846,0.05414080000000032,0,0,True,True,
